Report Number,Incident Type,Date/Time Reported,Date/Time Occurred,Date/Time Occured To,Location,Disposition,Disposition Change,Status,Date Entered
R250411034,Theft of Lost Property 3rd Degree,4/11/25 10:58,4/9/25 9:00,4/11/25 10:57,800 Block of 2nd Street ,Pending,4/15/25,Inactive,14-Apr-25
R250411008,Unlawful Possession of Marijuana & Drug Paraphernalia,4/11/25 0:52,4/11/25 0:52,4/11/25 1:21,1200 Block of 8th Street,Closed,,Cleared by Adult Arrest,11-Apr-25
R250410061,Theft of Property 4th Degree,4/10/25 19:05,4/10/25 18:55,4/10/25 19:02,1100 Block of University Blvd. ,Closed,4/29/25,D-Victim Refused to Cooperate,11-Apr-25
R250410030,Theft of Property 4th Degree,4/10/25 10:56,3/31/25 16:00,4/10/25 10:00,600 Block of Abercrombie Lane ,Closed,,D-Victim Refused to Cooperate,11-Apr-25
R250410024,Harassing Communications,4/10/25 9:22,4/10/25 5:00,4/10/25 6:00,100 Block of McCorvey Drive ,Pending,,,11-Apr-25
R250410016,DUI (Drugs or Alcohol) & Unlawful Possession of Marijuana 2nd Degree,4/10/25 4:28,4/10/25 4:28,4/10/25 7:40,400 Block of Queen City Ave.,Closed,,Cleared by Adult Arrest,11-Apr-25
R250409007,Public Intoxication,4/9/25 1:32,4/9/25 1:32,4/9/25 1:50,1200 Block of University Blvd.,Closed,,Cleared by Adult Arrest,9-Apr-25
R250408063,Possession With Intent to Disseminate Obscene Matter Containing Visual Depiction of Persons Under 17 Years of Age Involved in Obscene Acts,4/8/25 19:55,4/6/25 22:00,4/7/25 0:00,100 Block of McCorvey Drive ,Closed,4/16/25,Cleared by Adult Arrest,9-Apr-25
R250408036,Theft of Property 4th Degree,4/8/25 13:07,4/1/25 0:10,4/8/25 6:00,1200 Block of Coliseum Drive ,Pending,4/29/25,Inactive,9-Apr-25
R250406023,Theft of Property 4th Degree,4/4/25 17:00,4/2/25 17:00,4/6/25 13:00,600 Block of Abercrombie Lane ,Closed,,Unfounded,7-Apr-25
R250406012,Assault 3rd Degree,4/6/25 3:22,4/6/25 3:22,4/6/25 4:22,University Blvd. @ Wallace Wade Ave. ,Closed,,D-Victim Refused to Cooperate,7-Apr-25
R250406006,Public Intoxication,4/6/25 2:14,4/6/25 2:14,4/6/25 2:22,1200 Block of University Blvd.,Closed,,Cleared by Adult Arrest,7-Apr-25
R250406001,Unlawful Possession of Drug Paraphernalia & Public Intoxication,4/5/25 23:05,4/5/25 23:05,4/6/25 0:10,1200 Block of University Blvd.,Closed,,Cleared by Adult Arrest,7-Apr-25
R250405057,Public Intoxication,4/5/25 23:05,4/5/25 23:05,4/5/25 23:05,1300 Block of University Blvd. ,Closed,,Cleared by Adult Arrest,7-Apr-25
R250405047,Harassment,4/5/25 19:04,4/5/25 17:30,4/5/25 20:14,200 Block of University Blvd. ,Closed,4/16/25,Unfounded,7-Apr-25
R250405039,Assault 3rd Degree,4/5/25 17:18,4/5/25 17:18,4/5/25 17:18,300 Block of University Blvd. ,Pending,,,7-Apr-25
R250405039,Assault 3rd Degree,4/5/25 17:18,4/5/25 17:18,4/5/25 17:18,300 Block of University Blvd. ,Closed,,D-Victim Refused to Cooperate,7-Apr-25
R250405011,Theft of Property 3rd Degree,4/5/25 1:14,4/4/25 23:00,4/5/25 0:00,200 Block of University Blvd. ,Pending,,Inactive,7-Apr-25
R250405010,Harassment,4/5/25 1:13,4/5/25 1:00,4/5/25 1:14,1100 Block of University Blvd. ,Closed,4/7/25,Cleared by Adult Arrest,7-Apr-25
R250404056,DV Harassment,4/4/25 19:48,4/4/25 19:53,4/4/25 20:08,600 Block of Abercrombie Lane ,Closed,,D-Victim Refused to Cooperate,7-Apr-25
R250404029,Criminal Trespass 3rd Degree,4/4/25 11:12,4/4/25 11:12,4/4/25 11:12,200 Block of 7the Ave. ,Closed,,Cleared by Adult Arrest,7-Apr-25
R250404023,UB & E of a Motor Vehicle,4/4/25 9:19,4/4/25 9:14,4/2/25 9:16,500 Block of Margaret Drive ,Closed,4/9/25,D-Victim Refused to Cooperate,7-Apr-25
R250403057,Theft of Lost Property,4/3/25 19:30,3/31/25 0:00,4/3/25 19:30,1100 Block of Jackson Ave. ,Pending,,,4-Apr-25
R250403027,Unlawful Possession of Drug Paraphernalia,4/3/25 11:26,4/3/25 11:26,4/3/25 11:26,100 Block of Hackberry Lane ,Closed,,Cleared by non-Custodial Adult Arrest,4-Apr-25
R250402045,Unlawful Possession of Marijuana 2nd Degree & Drug Paraphernalia,4/2/25 22:16,4/2/25 22:15,4/2/25 23:55,1000 Block of Kicker Road 35404,Closed,,Cleared by non-Custodial Adult Arrest,3-Mar-25
R250402041,Burglary 3rd Degree,4/2/25 20:45,4/1/25 18:50,4/1/25 20:24,900 Block of Hackberry Lane ,Closed,4/4/25,Unfounded,3-Mar-25
R250402036,Theft of Lost Property 3red Degree,4/2/25 18:15,4/2/25 17:10,4/2/25 17:10,700 Block of Campus Drive West ,Pending,,,3-Mar-25
R250402029,Theft of Property 3rd Degree,4/2/25 17:05,4/2/25 8:00,4/2/25 8:45,600 Block of Abercrombie Lane ,Closed,4/2/25,Administratively Cleared,3-Mar-25
R250402025,Theft of Property 3rd Degree,4/2/25 14:15,3/28/25 16:45,3/30/25 14:45,600 Block of Abercrombie Lane ,Closed,4/25/02,Cleared by Adult Arrest,3-Mar-25
R250401045,Theft of Property 4th Degree,4/1/25 18:54,4/1/25 17:00,4/1/25 17:10,400 Block of Colonial Drive ,Pending,,,2-Mar-25
R250331057,Criminal Mischief 3rd Degree,3/31/25 20:29,3/25/25 10:00,3/31/25 18:30,300 Block of Hackberry Lane ,Pending,,,1-Apr-25
R250330032,Harassment,3/30/25 21:22,3/30/25 18:10,3/30/25 18:17,900 Block of 2nd Street ,Closed,3/31/25,D-Victim Refused to Cooperate,31-Mar-25
R250329025,Theft of Property 4th Degree,3/29/25 17:33,3/29/25 15:00,3/29/25 17:59,600 Block of Abercrombie Lane ,Pending,,,31-Mar-25
R250329005,Theft of Property 4th Degree,3/29/25 1:07,3/29/25 1:08,3/29/25 1:29,400 Block of Jefferson Ave. ,Pending,,,31-Mar-25
R250329004,Harassment,3/29/25 0:24,3/29/25 0:24,3/29/25 1:24,400 Block of Jefferson Ave. ,Closed,4/9/25,D-Victim Refused to Cooperate,31-Mar-25
R250327052,Criminal Trespass 3rd Degree,3/27/25 18:47,3/27/25 18:35,3/27/25 18:55,400 Block of Peter Bryce Blvd. ,Pending,3/28/25,Inactive,28-Mar-25
R250327043,Harassing Communications,3/27/25 15:30,3/25/25 6:50,3/27/25 15:29,800 Block of University Blvd. ,Closed,4/11/25,Administratively Cleared,28-Mar-25
R250327029,Theft of Property 4th Degree,3/27/25 11:51,3/26/25 10:20,3/26/25 1140 HRs,600 Block of Abercrombie Lane ,Pending,,,28-Mar-25
R250326088,Unlawful Possession of Marijuana 2nd Degree,3/26/25 22:31,3/26/25 22:31,3/26/25 23:39,900 Block of 2nd Street ,Closed,,Cleared by Adult non-Custodial Arrest,27-Mar-25
R250326072,Fraud (Theft of Property) 3rd Degree,3/26/25 20:28,3/26/25 11:30,3/267/25 20:20,700 Block of Capstone Drive ,Pending,,,27-Mar-25
R250326042,Harassing Communications,3/26/25 15:11,1/1/24 12:00,3/26/25 15:11,100 Block of Paul W. Bryant Drive ,Closed,,Administratively Cleared,27-Mar-25
R250326033,Unlawful Possession of Marijuana 2nd Degree,3/26/25 11:43,3/26/25 11:30,3/26/25 11:41,800 Block of Paul W. Bryant Drive ,Closed,,Cleared by Adult non-Custodial Arrest,27-Mar-25
R250326027,Theft of Property 4th Degree,3/26/25 10:30,3/26/25 10:28,3/26/25 10:28,500 Block of Margaret Drive ,Closed,4/16/25,D-Victim Refused to Cooperate,27-Mar-25
R250326018,Criminal Trespass 3rd Degree,3/26/25 8:52,3/25/25 14:00,3/26/25 14:15,1400 Block of Jack Warner Parkway ,Closed,,Administratively Cleared,27-Mar-25
R250323007,DV Harassing Communications,3/23/25 1:31,3/23/25 1:31,3/23/25 1:31,500 Block of Red Drew Ave.,Closed,,Cleared by Adult Arrest,24-Mar-25
R250323001,Theft of Property (Vehicle) 1st Degree,3/23/25 0:18,3/23/25 0:00,3/23/25 0:18,400 Block of Smithwood Circle ,Pending,,,24-Mar-25
R250322060,Burglary 3rd Degree,3/22/25 22:21,3/22/25 18:30,3/22/25 19:00,600 Block of Abercrombie Lane ,Closed,4/3/25,Cleared by Adult Arrest,24-Mar-25
R250322014,Harassment,3/22/25 4:05,3/22/25 1:50,3/22/25 2:01,900 Block of Magnolia Drive ,Closed,3/31/25,D-Victim Refused to Cooperate,24-Mar-25
R250322022,Criminal Trespass 1st Degree,3/22/25 10:42,3/21/25 2:05,3/22/25 5:13,600 Block of Abercrombie Lane ,Closed,,D-Victim Refused to Cooperate,24-Mar-25
